regierungsbezirk-id,partei-id,partei-name,id,Name,SZ.- Rf.1),PL.- Nr.2),G3),Gesamtstimmen,darunter Zweitstimmen,401  Bamberg-Land,402  Bamberg-Stadt,403  Bayreuth,404  Coburg,405  Forchheim,406  Hof,"407  Kronach, Lichtenfels","408  Wunsiedel, Kulmbach"
904,15,Die Partei,6,"Thielmann, Cornelia",11,6,,424,424,36,99,43,42,37,68,46,53
904,15,Die Partei,7,"Beck, Michael",6,7,,393,393,8,18,197,25,8,39,30,68
904,15,Die Partei,8,"Zippel, Julian",7,8,,354,354,57,78,29,53,25,45,39,28
904,15,Die Partei,9,"Frerking, Silas Rouven",9,9,,306,306,36,78,27,42,37,34,31,21
904,15,Die Partei,10,"Hautsch, Markus",8,10,,238,238,20,19,41,25,19,43,17,54
904,15,Die Partei,11,"Schern, Frank",10,11,,173,173,6,7,13,8,7,101,9,22
904,15,Die Partei,,,,,,,,,,,,,,,
904,15,Die Partei,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,,38,38,3,8,1,9,3,4,6,4
904,15,Die Partei,,Erststimmen insgesamt,,,,2.546,-,-,785,1.010,-,-,751,-,-
904,15,Die Partei,,Zweitstimmen insgesamt,,,,5.998,5.998,559,782,1.022,775,567,804,601,888
904,15,Die Partei,,Gesamtstimmen,,,,8.544,5.998,559,1.567,2.032,775,567,1.555,601,888
904,16,Gesundheitsforschung,1,"Köhler, Werner",1,1,,748,362,50,50,35,48,34,386*,57,88
904,16,Gesundheitsforschung,2,"Schmalz, Boris",3,2,,604,604,59,59,91,91,68,78,85,73
904,16,Gesundheitsforschung,3,"Jäckel, Britta",2,3,,495,495,41,19,33,24,21,261,37,59
904,16,Gesundheitsforschung,,,,,,,,,,,,,,,
904,16,Gesundheitsforschung,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,,14,14,0,1,2,2,0,1,1,7
904,16,Gesundheitsforschung,,Erststimmen insgesamt,,,,386,-,-,-,-,-,-,386,-,-
904,16,Gesundheitsforschung,,Zweitstimmen insgesamt,,,,1.475,1.475,150,129,161,165,123,340,180,227
904,16,Gesundheitsforschung,,Gesamtstimmen,,,,1.861,1.475,150,129,161,165,123,726,180,227
904,16,Gesundheitsforschung,1,"Köhler, Werner",1,1,,748,362,50,50,35,48,34,386*,57,88
904,16,Gesundheitsforschung,2,"Schmalz, Boris",3,2,,604,604,59,59,91,91,68,78,85,73
904,16,Gesundheitsforschung,3,"Jäckel, Britta",2,3,,495,495,41,19,33,24,21,261,37,59
904,16,Gesundheitsforschung,,,,,,,,,,,,,,,
904,16,Gesundheitsforschung,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,,14,14,0,1,2,2,0,1,1,7
904,16,Gesundheitsforschung,,Erststimmen insgesamt,,,,386,-,-,-,-,-,-,386,-,-
904,16,Gesundheitsforschung,,Zweitstimmen insgesamt,,,,1.475,1.475,150,129,161,165,123,340,180,227
904,16,Gesundheitsforschung,,Gesamtstimmen,,,,1.861,1.475,150,129,161,165,123,726,180,227
904,18,V-Partei,1,"Frederking, Reinhard",3,1,,761,263,23,43,498*,36,44,33,31,53
904,18,V-Partei,2,"Billner, Christian",1,2,,512,512,63,69,108,33,72,45,62,60
904,18,V-Partei,3,"Pförtsch, Christian",5,3,,377,377,27,33,120,31,26,40,47,53
904,18,V-Partei,4,"Schindelmann, Felix",2,4,,272,272,20,16,101,20,13,28,29,45
904,18,V-Partei,5,"O'Toole, Shelby",6,5,,200,200,22,20,34,20,13,21,30,40
904,18,V-Partei,6,"Frederking, Regina",4,6,,196,196,12,11,98,13,19,16,11,16
904,18,V-Partei,7,"Granegger, Bettina",7,7,,143,143,18,10,43,11,15,14,13,19
904,18,V-Partei,,,,,,,,,,,,,,,
904,18,V-Partei,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,,23,23,4,0,3,6,2,3,3,2
904,18,V-Partei,,Erststimmen insgesamt,,,,498,-,-,-,498,-,-,-,-,-
904,18,V-Partei,,Zweitstimmen insgesamt,,,,1.986,1.986,189,202,507,170,204,200,226,288
904,18,V-Partei,,Gesamtstimmen,,,,2.484,1.986,189,202,1.005,170,204,200,226,288
